Id,Gender,Channel
1,0,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,0,0
9,1,0
10,1,0
11,0,1
12,0,0
13,0,0
14,1,0
15,0,1
16,1,1
17,0,0
18,0,0
19,1,0
20,0,1
21,0,1
22,0,0
23,1,1
24,0,0
25,0,0
26,0,1
27,1,0
28,0,0
29,0,1
30,1,1
31,1,1
32,0,0
33,1,1
34,0,0
35,0,0
36,1,0
37,0,1
38,1,0
39,0,0
40,1,0
41,0,1
42,1,1
43,0,1
44,0,1
45,0,0
46,1,1
47,1,1
48,1,0
49,0,0
50,1,1
51,0,1
52,0,1
53,0,0
54,1,0
55,1,0
56,0,0
57,0,1
58,0,0
59,1,1
60,0,1
61,1,0
62,0,0
63,0,1
64,1,0
65,1,0
66,1,1
67,0,0
68,1,0
69,0,1
70,1,1
71,0,1
72,1,0
73,1,1
74,0,1
75,0,0
76,1,1
77,1,0
78,0,0
79,0,1
80,0,1
81,0,1
82,0,0
83,0,0
84,1,0
85,0,0
86,0,0
87,1,0
88,0,1
89,0,0
90,0,0
91,0,0
92,1,0
93,1,1
94,0,0
95,1,0
96,0,1
97,0,0
98,0,1
99,1,0
100,1,0
101,1,1
102,1,0
103,0,1
104,1,1
105,0,0
106,1,1
107,0,1
108,0,0
109,1,0
110,0,1
111,0,0
112,0,0
113,1,0
114,0,0
115,0,1
116,1,0
117,0,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,1
124,0,0
125,0,1
126,0,0
127,1,0
128,0,0
129,0,0
130,1,1
131,1,0
132,0,1
133,0,1
134,1,1
135,0,0
136,1,0
137,1,0
138,1,1
139,1,0
140,0,0
141,0,0
142,0,0
143,0,1
144,0,1
145,1,0
146,0,1
147,0,0
148,0,0
149,1,0
150,0,0
151,1,0
152,1,0
153,1,1
154,0,0
155,1,0
156,1,0
157,1,1
158,1,1
159,1,0
160,0,0
161,1,0
162,0,0
163,1,1
164,1,1
165,0,1
166,1,0
167,1,1
168,1,0
169,1,0
170,1,1
171,0,1
172,1,0
173,1,0
174,0,1
175,1,1
176,1,0
177,0,0
178,1,0
179,1,0
180,1,0
181,0,1
182,1,0
183,0,1
184,0,1
185,1,0
186,0,1
187,1,1
188,1,0
189,1,0
190,1,0
191,1,1
192,0,0
193,0,1
194,1,1
195,1,0
196,1,1
197,1,1
198,0,0
199,1,0
200,0,0
201,0,1
202,1,0
203,0,1
204,1,0
205,1,0
206,0,0
207,1,1
208,0,0
209,1,1
210,1,0
211,1,0
212,0,0
213,1,1
214,1,0
215,0,1
216,0,0
217,1,1
218,0,0
219,0,0
220,1,1
221,1,0
222,0,0
223,1,0
224,0,1
225,0,0
226,1,1
227,1,1
228,0,1
229,0,1
230,1,0
231,1,0
232,1,1
233,0,0
234,0,0
235,1,0
236,1,1
237,0,0
238,1,1
239,0,0
240,0,0
241,1,0
242,0,1
243,1,0
244,0,1
245,1,1
246,1,1
247,1,0
248,1,1
249,0,1
250,1,0
251,1,0
252,1,1
253,0,0
254,1,0
255,0,0
256,1,0
257,0,0
258,1,0
259,0,1
260,1,0
261,1,0
262,1,1
263,1,0
264,1,1
265,1,0
266,1,1
267,0,1
268,1,0
269,0,0
270,1,1
271,1,0
272,1,0
273,0,0
274,1,0
275,1,0
276,0,1
277,0,0
278,0,0
279,0,1
280,1,0
281,1,1
282,0,1
283,0,0
284,0,1
285,0,1
286,1,0
287,0,0
288,0,0
289,0,1
290,1,0
291,0,0
292,1,0
293,1,0
294,0,0
295,1,0
296,0,0
297,1,0
298,1,0
299,0,0
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,1,1
306,1,1
307,1,0
308,1,0
309,0,0
310,1,0
311,0,1
312,0,1
313,0,0
314,0,1
315,1,0
316,1,0
317,1,1
318,1,0
319,0,0
320,0,1
321,1,1
322,1,0
323,1,0
324,1,1
325,0,0
326,0,1
327,1,0
328,1,0
329,1,0
330,1,1
331,1,0
332,0,1
333,0,0
334,1,0
335,1,0
336,1,0
337,1,0
338,1,0
339,1,1
340,0,1
341,0,0
342,0,0
343,1,0
344,1,1
345,1,0
346,0,0
347,1,1
348,0,0
349,0,1
350,0,1
351,1,1
352,1,0
353,0,0
354,0,1
355,0,1
356,0,1
357,0,0
358,1,0
359,0,0
360,1,0
361,0,1
362,1,1
363,1,0
364,1,0
365,0,0
366,1,0
367,0,0
368,0,0
369,0,0
370,1,1
371,1,0
372,0,1
373,0,0
374,0,0
375,0,0
376,0,1
377,0,0
378,0,0
379,0,0
380,0,1
381,0,0
382,0,0
383,1,0
384,1,1
385,0,0
386,1,1
387,1,1
388,0,1
389,0,0
390,1,1
391,0,0
392,1,1
393,0,0
394,0,1
395,1,0
396,1,0
397,0,1
398,0,0
399,0,0
400,0,0
401,1,0
402,0,0
403,0,0
404,1,0
405,1,1
406,0,0
407,1,1
408,1,0
409,0,0
410,1,1
411,0,1
412,1,0
413,0,0
414,1,0
415,1,0
416,1,1
417,1,1
418,0,0
419,0,0
420,1,1
421,1,0
422,1,0
423,0,1
424,1,0
425,0,0
426,1,0
427,1,1
428,0,1
429,1,1
430,1,0
431,0,0
432,0,1
433,1,0
434,1,0
435,1,0
436,0,0
437,0,1
438,1,1
439,1,1
440,0,0
441,0,1
442,1,1
443,1,0
444,0,0
445,1,0
446,0,0
447,0,0
448,0,1
449,0,0
450,0,1
451,0,0
452,1,0
453,1,0
454,0,1
455,0,0
456,1,1
457,0,1
458,0,0
459,0,0
460,0,1
461,0,0
462,1,1
463,1,1
464,0,1
465,1,0
466,0,0
467,1,0
468,1,1
469,1,0
470,1,0
